,inner_label,inner_area,inner_centroid-0,inner_centroid-1,inner_axis_major_length,inner_axis_minor_length,inner_eccentricity,inner_orientation,inner_slice,outer_label,outer_area,outer_centroid-0,outer_centroid-1,outer_axis_major_length,outer_axis_minor_length,outer_eccentricity,outer_orientation,outer_slice,file,gratio,orientation_mean_deg,eccentricity_mean
90,14,0.18489999999999998,182.7872,888.4,0.584649155724846,0.40312563717359273,0.7242693272649878,0.10463437436888681,"(slice(166, 201, None), slice(877, 901, None))",14,0.14377823999999997,186.0761316872428,889.7304526748972,0.975751107183011,0.6658511943484928,0.7309802623344812,-0.03974871523065299,"(slice(162, 208, None), slice(874, 905, None))",Sample_Data_SWM.ome.tif,0.6054290216720781,1.8588372097726302,0.7276247947997345
91,15,0.28666896,206.19504643962847,589.7832817337461,0.726084813932255,0.5041026433602896,0.7197096745252882,-0.0036678091009023335,"(slice(185, 228, None), slice(576, 606, None))",15,0.12040687999999998,205.8009828009828,588.041769041769,1.0716087667440248,0.8133512916052871,0.6510903649716406,0.2326194765870048,"(slice(183, 230, None), slice(572, 607, None))",Sample_Data_SWM.ome.tif,0.6197846472529199,6.5589821297181325,0.6854000197484644
92,16,0.37364591999999996,210.9730799683294,727.8202692003167,0.7733710231582953,0.6192409703985907,0.5990607050541934,1.4467655369004482,"(slice(193, 231, None), slice(704, 750, None))",16,0.27276448,210.92082429501085,727.7841648590022,1.2927780965407554,1.0067862556045628,0.6273004804799536,1.4693354712388715,"(slice(188, 236, None), slice(698, 758, None))",Sample_Data_SWM.ome.tif,0.6150669687348325,83.54014020011377,0.6131805927670735
93,17,0.4206844799999999,222.9549929676512,984.2946554149086,1.155242066644261,0.4650469452373446,0.9153963811952128,1.359418728810415,"(slice(209, 239, None), slice(952, 1018, None))",17,1.4513910399999999,224.43355075417855,977.4973501834488,2.4763992136067245,1.3270291816215574,0.8443002143084978,1.4044373022539567,"(slice(191, 272, None), slice(917, 1043, None))",Sample_Data_SWM.ome.tif,0.3504421392369703,79.17864288088352,0.8798482977518554
94,18,0.38370447999999996,244.7686969930609,468.4533538936006,0.9191297943598039,0.537661820040748,0.8110561348881382,1.0384413681180749,"(slice(226, 267, None), slice(444, 492, None))",18,0.2825272,242.71413612565445,469.4429319371728,1.4438102261881924,0.9218840688934544,0.7696153643324146,0.960216161048248,"(slice(219, 273, None), slice(438, 499, None))",Sample_Data_SWM.ome.tif,0.5832206436608762,57.25732055663777,0.7903357496102764
95,19,0.10295231999999999,250.04022988505747,132.867816091954,0.38391189019214783,0.34180730147166155,0.455320764010836,0.32897337946295985,"(slice(239, 262, None), slice(123, 144, None))",19,0.27483536,248.71582346609256,131.09580193756727,0.861151402571118,0.7345214530430791,0.5219881359618443,-0.014393122861653566,"(slice(227, 271, None), slice(113, 151, None))",Sample_Data_SWM.ome.tif,0.46534692765687646,9.012060510698653,0.48865444998634017
96,20,0.8922534399999998,249.71352785145888,320.39854111405833,1.4526309089033367,1.0549997424091748,0.6874113722801852,-1.3907480549315103,"(slice(221, 288, None), slice(277, 357, None))",20,0.33518671999999994,256.85348631950575,307.06796116504853,2.042713770196187,1.5455830194067572,0.6538407373771875,-0.050273190684285665,"(slice(216, 299, None), slice(273, 354, None))",Sample_Data_SWM.ome.tif,0.6825901482885833,-41.28221778123495,0.6706260548286864
97,21,0.58665072,259.2415532022189,192.6732223903177,0.9524313972210612,0.7888430454863731,0.5603715751220502,1.3783417569818748,"(slice(236, 282, None), slice(165, 221, None))",21,0.6549897599999999,259.56323396567296,196.39566395663957,1.720652595901004,1.3465106693023838,0.6225775300521191,1.3412255943235911,"(slice(228, 292, None), slice(156, 236, None))",Sample_Data_SWM.ome.tif,0.5858424024928568,77.90986566568765,0.5914745525870846
98,22,0.13224048,281.7762863534676,529.2818791946308,0.43785243801434026,0.38491849021294106,0.47662721779892936,-0.9911182268900934,"(slice(270, 294, None), slice(517, 542, None))",22,0.24022207999999998,282.0628078817734,527.7733990147783,0.8368510969093114,0.7658863641429229,0.40299929839952975,-1.0443291960577306,"(slice(263, 302, None), slice(508, 549, None))",Sample_Data_SWM.ome.tif,0.5025791138659194,-58.31127337784507,0.43981325809922955
99,23,0.08579359999999998,285.0,144.5,0.34284319398578417,0.3187611256633683,0.3681718041762459,-0.5368489932883325,"(slice(275, 296, None), slice(135, 155, None))",23,0.07603088,283.46692607003894,145.91050583657588,0.607362427157672,0.5162139662802356,0.5268998207845391,1.078600426019006,"(slice(272, 298, None), slice(131, 159, None))",Sample_Data_SWM.ome.tif,0.6174980656961213,15.520035320316563,0.44753581248039254
